"","Control_1","Control_2","Control_3","ZIKV_1","ZIKV_2","ZIKV_3"
"84107",0,0,2,1,0,0
"7545",4,1,0,4,5,1
"100507461",1,0,0,1,1,0
"185",74,48,35,53,67,42
"1360",0,0,0,0,0,1
"2992",1325,986,633,992,1005,617
"6596",2715,1763,1170,1400,1394,776
"100873945",42,27,17,14,21,13
"84343",1650,1108,779,1205,1228,647
"1356",638,413,227,449,517,264
"116441",1487,1010,708,742,818,454
"4071",24134,17445,11530,15537,17244,8221
"100874091",31,21,12,11,23,11
"105374151",2,1,2,1,9,1
"7104",17127,11572,7918,8070,9377,4493
"25937",4766,3452,2316,4045,4329,2304
"100128025",42,32,22,62,77,29
"51122",1195,923,573,826,942,517
"389161",0,0,0,0,1,0
"11342",2210,1398,964,1385,1568,867
"5217",4889,3478,2563,2847,3180,1777
"646903",36,24,19,72,65,31
"653659",299,197,152,224,195,93
"105374153",0,0,0,1,0,0
"101928022",1,0,0,2,2,0
"105374154",0,0,0,0,1,0
"107986141",1,0,0,7,4,8
"107986142",0,0,0,9,7,4
"9819",902,570,433,1626,1730,999
"27230",6326,4833,3329,4769,5698,2916
"83939",3047,2184,1479,2254,2545,1359
"51714",4440,3068,2148,2864,3174,1674
"131831",20,15,8,17,18,10
"101928085",20,19,20,18,27,8
"101928105",4,1,4,4,2,2
"6478",950,680,415,1037,1052,595
"105374155",11,8,0,10,10,8
"646951",0,1,1,3,1,0
"7401",0,0,0,4,3,3
"116933",1,0,0,20,21,16
"116931",97,75,44,204,205,93
"29909",1,0,0,0,2,1
"9934",4,4,4,2,5,0
"53836",9,0,3,0,9,3
"53829",2,0,0,0,1,1
"285313",260,149,102,162,169,92
"105374157",0,0,1,0,0,0
"105374158",0,1,0,0,1,0
"344752",4,0,0,2,2,4
"101928142",6,2,7,5,8,3
"201651",187,128,114,141,162,83
"13",791,508,375,619,775,392
"56670",24,15,7,21,37,15
"107986047",0,1,0,0,0,0
"4154",3098,2089,1483,2349,2615,1379
"401093",96,68,50,105,97,77
"645843",1,0,0,0,0,0
"102724289",0,0,0,1,0,0
"5028",235,143,103,182,153,84
"5912",1557,1166,813,2074,2293,1271
"105374164",1,0,0,4,1,6
"105374166",1,0,0,12,10,11
"105374165",0,0,0,0,1,0
"152118",0,0,0,1,0,0
"100507524",8,1,2,1,2,1
"26084",347,227,138,186,208,100
"105374167",15,5,4,27,17,4
"170506",2614,1791,1330,1989,2211,1219
"344758",0,0,0,1,0,0
"105374170",0,0,0,0,0,1
"4311",6,12,4,7,4,9
"100507537",1,1,2,1,1,2
"105374172",0,0,0,0,1,0
"23007",728,496,327,646,675,388
"100874036",3,3,1,1,2,3
"285315",490,331,245,345,396,215
"9197",2375,1573,1018,2384,2369,1366
"105374174",22,15,8,36,42,32
"8833",4884,3588,2434,3089,3608,1952
"7881",1719,1157,837,1003,1145,655
"100874083",0,0,0,1,0,1
"6747",5107,3514,2326,3180,3463,2013
"100287227",73,44,33,108,145,59
"25976",788,453,338,1571,1717,918
"730091",86,73,57,43,93,20
"647033",166,139,87,97,119,79
"389170",26,14,15,64,85,36
"339894",2,1,0,8,10,5
"105374177",0,0,0,7,8,2
"100498859",0,0,1,0,2,2
"57018",2025,1450,959,2968,3212,1699
"101928236",66,39,21,41,57,33
"105374179",0,1,0,4,8,1
"79674",44,32,15,26,22,8
"5806",16,9,20,86,85,38
"152078",56,44,22,36,34,22
"6474",188,129,100,286,302,189
"51319",1184,896,596,771,953,502
"110599565",1,0,0,0,0,0
"100996447",40,28,14,24,23,19
"4291",337,227,154,204,207,123
"85476",3200,2118,1401,1912,1918,1101
"56925",2902,1935,1291,1546,1797,935
"5918",1549,949,570,707,922,458
"100287290",179,147,86,131,141,82
"64747",2011,1240,899,1293,1299,715
"105374181",4,2,0,6,8,9
"100505385",481,299,216,479,520,305
"654502",0,0,0,0,1,0
"29970",482,299,216,481,521,305
"100874433",0,0,0,1,0,1
"101928351",2,1,0,2,3,1
"101928376",7,4,4,12,20,7
"3592",51,30,19,73,137,57
"401097",398,291,167,179,193,93
"100174949",866,581,363,524,579,324
"57560",716,480,302,432,464,271
"10051",13215,9210,6039,7126,8285,4449
"286827",733,481,362,445,573,287
"3840",5420,3824,2841,4179,4320,2596
"677767",7,1,2,9,10,8
"80117",29,20,12,112,129,79
"151742",238,160,108,187,200,114
"8706",2,5,6,13,13,3
"105374186",0,0,1,1,0,0
"51068",2380,1526,1151,2086,2222,1155
"105374187",20,19,10,19,27,8
"112268450",5,8,5,27,19,9
"165679",72,40,22,67,62,25
"101243545",1424,1012,419,826,949,291
"131149",0,0,0,0,0,2
"107986049",21,7,6,11,13,3
"647107",0,0,0,1,0,0
"6476",0,0,0,0,3,0
"22865",0,0,0,5,2,2
"103695433",64,35,20,44,77,33
"590",242,142,99,122,177,85
"105374193",0,0,0,1,0,0
"79740",2,0,0,0,4,0
"5276",1,0,0,0,1,1
"105374197",0,0,0,1,3,0
"151790",0,0,0,5,5,1
"11235",1663,1202,853,1070,1299,677
"5274",578,400,255,394,430,197
"27333",2705,1710,1187,1393,1583,839
"93556",2,0,0,1,3,2
"105374200",0,1,0,0,0,0
"2122",85,44,39,66,65,38
"7012",12,3,0,7,7,1
"84517",137,98,61,145,152,75
"100189318",0,0,0,3,0,0
"55892",629,418,286,620,644,310
"151827",39,17,15,16,20,14
"344657",0,0,0,5,6,1
"79782",5,7,3,4,10,10
"344658",0,0,0,1,1,0
"100128164",2,1,1,8,6,4
"7095",7866,5363,3750,4459,5825,2977
"26996",124,110,80,88,102,81
"80012",1952,1071,853,1433,1593,906
"105374209",1,0,0,1,0,1
"5584",2163,1365,1006,1281,1508,876
"6498",2909,1842,1261,2840,2900,1729
"5010",61,45,25,45,53,38
"102465497",2,2,1,0,0,0
"101928583",0,0,0,1,0,0
"200916",1598,1283,894,859,1182,637
"56648",346,253,155,251,289,138
"23043",122,68,46,40,41,33
"105374216",1,1,0,1,0,2
"102724479",13,16,7,4,5,0
"5337",959,632,481,568,557,361
"64778",3809,2529,1681,3289,3613,2002
"2693",2,0,0,1,1,0
"8743",56,24,18,2024,2203,1044
"105374219",0,0,2,2,1,0
"57552",2341,1428,1014,1656,1677,969
"1894",6836,4491,3128,4039,4240,2432
"107986052",0,0,0,3,0,0
"105374220",0,0,0,0,1,0
"22871",0,0,0,6,1,2
"254827",4,5,6,7,8,3
"79718",1725,1235,850,957,982,521
"107986053",0,0,1,1,1,0
"100820709",0,0,1,1,1,0
"102724550",10,12,7,6,10,3
"107986154",0,6,0,1,1,1
"105374234",0,0,1,0,1,1
"105374235",0,1,0,0,0,0
"100874330",1,0,1,0,0,0
"104797538",1,0,0,1,2,2
"10242",0,0,0,0,2,0
"64393",647,474,323,461,515,273
"5290",583,413,263,530,560,301
"27094",120,78,54,106,134,73
"51193",657,482,326,574,594,328
"55669",1462,948,632,967,915,531
"59345",572,413,288,1057,1068,641
"86",2649,2037,1344,1753,1882,1075
"57129",1179,888,656,876,835,480
"4711",2302,1922,1166,1642,1768,962
"8975",824,551,424,451,474,273
"51555",13,22,8,6,16,7
"101928790",0,0,0,0,1,0
"101928856",2,1,0,5,3,0
"151613",1568,976,667,796,943,557
"339829",82,68,35,58,73,30
"105374240",2,1,1,0,3,0
"8087",5203,3706,2532,3366,3665,2194
"131118",800,602,403,535,629,350
"347689",1,0,0,4,1,0
"6657",282,156,130,127,149,134
"105374245",0,1,1,9,5,3
"23200",1062,688,483,742,714,402
"54165",1263,860,637,885,1035,547
"105374246",0,0,0,2,5,1
"56922",816,545,410,641,788,399
"105374247",1,0,2,2,1,0
"27074",19,6,7,1513,1604,818
"23101",42,32,19,67,63,33
"84002",223,132,89,284,289,162
"107986160",25,27,17,51,57,27
"100505687",355,297,196,320,326,157
"109616971",0,0,0,0,1,0
"109617007",9,9,11,5,10,6
"100874019",0,1,0,0,0,0
"105374248",0,0,0,0,1,0
"107986162",31,24,12,16,16,12
"54800",301,238,176,233,224,131
"55689",1425,887,681,1437,1594,889
"100874113",71,45,46,72,83,45
"79929",115,109,52,57,76,72
"55486",1687,1399,923,1189,1380,763
"10057",1685,1099,802,906,944,577
"100873982",2,0,0,0,0,0
"200909",0,0,0,0,1,0
"170572",3,0,0,0,0,0
"105374249",42,28,16,24,37,20
"106478970",0,0,0,1,2,1
"285242",0,0,0,12,12,8
"8893",1795,1275,877,1250,1384,820
"1857",2053,1402,1155,1363,1598,991
"1173",15710,11909,8302,8897,10997,6294
"55324",1980,1324,957,1428,1552,941
"90113",204,172,99,157,145,82
"100187716",4,5,3,0,2,2
"10195",3064,2161,1526,1731,2082,1112
"110599564",304,221,170,176,213,122
"110599583",210,155,121,127,142,83
"94032",59,49,29,28,37,17
"9718",0,0,0,2,2,2
"5708",12609,9199,6557,7515,8516,4878
"1981",20901,13312,9778,12300,13363,7789
"692107",2,0,0,3,2,0
"131408",173,143,89,112,131,63
"1181",319,222,138,249,272,179
"5437",1552,1126,836,1071,1300,705
"7066",0,2,4,0,1,1
"8646",22,14,13,13,17,15
"2049",126,67,35,94,113,62
"64110",1167,829,622,810,866,460
"107986163",16,6,7,20,8,5
"105374253",0,0,0,0,1,0
"23355",869,578,424,538,641,349
"285382",1,0,0,0,0,0
"339926",40,30,21,22,23,12
"1962",550,386,287,261,306,157
"9175",679,565,393,596,791,442
"101929018",9,6,5,22,18,15
"90407",934,680,447,686,756,397
"105374254",8,2,9,14,8,2
"200879",849,574,361,688,764,429
"59343",973,630,449,745,882,461
"10644",111,91,61,245,252,115
"646600",0,0,0,1,3,0
"6434",6666,4824,3408,4761,5587,3136
"344887",461,295,172,414,504,297
"2119",1260,944,624,1199,1263,782
"105374257",101,50,31,45,66,32
"1608",393,291,217,307,350,181
"253573",0,0,0,0,2,1
"107986165",0,0,0,2,2,1
"1427",57,30,18,43,27,21
"55171",478,329,213,327,351,231
"51726",5514,3623,2595,4745,5383,2844
"197",23,27,13,7,7,3
"26998",2,4,2,1,0,2
"105374258",0,1,0,0,0,0
"3273",4,4,1,0,1,3
"3827",12,6,5,5,10,4
"1974",10692,6870,5064,9218,10233,5421
"619567",27,15,13,29,20,12
"109617006",21,8,7,17,16,13
"100302143",11,6,9,11,5,8
"677847",25,14,12,27,14,15
"6043",49,20,21,44,47,24
"619568",45,24,19,46,49,25
"5984",2039,1468,1079,1271,1313,738
"102724699",58,35,32,38,45,38
"9370",0,0,0,1,0,1
"100874095",0,0,0,1,2,2
"6480",467,298,182,267,309,159
"116832",694,566,373,347,515,290
"5648",1,0,2,5,8,1
"105374260",0,0,0,1,1,1
"101929130",0,1,0,0,0,1
"64108",0,0,2,84,113,49
"105374261",37,28,12,30,16,15
"6750",0,0,0,0,0,3
"100131635",0,1,0,1,5,0
"604",573,391,256,1308,1450,741
"105374263",0,0,0,0,1,0
"105374266",4,0,1,0,1,1
"107986166",8,2,8,1,4,3
"339929",49,39,33,57,76,41
"4026",3006,1904,1360,1644,1932,1091
"401105",10,5,2,3,2,1
"100873917",0,0,0,1,2,1
"100874043",4,10,0,4,6,2
"107986167",13,5,4,6,5,3
"285386",27,16,7,22,36,9
"100874027",1,0,0,1,0,0
"105374270",1,7,1,0,0,0
"8626",70,52,36,53,48,33
"55214",1292,902,567,1253,1345,685
"101929152",4,1,2,19,31,9
"9076",2405,1578,1291,3313,3737,1805
"10686",7,7,5,32,38,22
"3556",329,217,130,403,391,231
"647309",1,2,1,17,16,10
"257313",2,0,2,4,6,4
"152137",1710,1233,827,1364,1433,848
"103344926",0,0,0,0,0,1
"105374276",0,0,0,1,0,0
"2257",41,26,18,26,30,18
"107986056",0,0,0,1,0,1
"151963",244,152,128,477,462,237
"105374280",1,2,0,0,2,0
"57110",4,9,6,2,4,2
"84789",0,0,1,0,0,1
"344905",0,0,0,1,0,0
"84239",10,2,2,4,9,3
"101929198",0,0,0,1,1,0
"4976",2658,1748,1307,1526,1552,842
"100873941",61,43,28,44,43,28
"102724808",7,7,4,10,7,4
"105374283",1,0,0,0,2,0
"105374284",0,1,0,3,0,1
"105374285",6,6,2,0,2,0
"105374287",9,3,2,5,1,0
"105374286",0,0,0,0,1,0
"647323",10,5,5,4,4,0
"100128023",0,1,0,0,0,3
"285389",4,3,2,2,1,2
"102724877",0,1,0,1,2,3
"3280",1039,748,453,752,931,489
"100505920",0,0,1,0,1,0
"101929337",0,0,0,2,0,0
"105374289",29,8,10,12,10,10
"100131551",70,41,37,45,77,36
"1370",0,0,1,0,0,1
"131578",8,3,8,11,4,4
"2814",0,2,2,1,0,0
"79572",3241,2048,1404,1785,2011,1145
"401106",4,0,0,2,4,1
"100507297",146,114,96,135,159,86
"93109",639,413,281,372,360,203
"105374291",35,27,22,21,26,17
"55341",2503,1586,1169,1676,1901,993
"131583",86,52,43,429,486,288
"105374292",3,0,0,0,0,2
"100507391",2,2,1,0,0,0
"107986173",0,0,0,5,2,3
"152002",964,648,470,561,586,349
"101410543",0,1,0,1,1,0
"105374296",3,0,1,0,3,1
"23527",903,594,374,598,628,325
"5504",623,476,363,640,574,323
"347",5,4,4,4,14,6
"105374298",241,119,108,220,272,158
"105374297",40,26,17,85,83,49
"727956",541,350,266,435,505,281
"440993",206,159,101,122,177,84
"693155",126,77,55,67,67,40
"200958",66,53,25,74,95,45
"4585",38,11,16,39,40,17
"101929697",0,2,0,1,0,0
"107984010",4,0,2,1,2,1
"10188",1131,809,573,764,736,455
"100128262",54,42,29,32,38,21
"255812",656,426,300,521,541,342
"7037",13922,8441,6167,8018,8058,4649
"131540",1,0,0,6,21,3
"105374304",10,7,4,27,36,26
"200931",15,13,4,15,20,8
"5130",2094,1385,980,1324,1575,902
"255758",314,239,160,219,215,126
"100534611",234,168,114,128,149,83
"107986031",35,15,8,31,35,18
"100874214",61,32,24,38,33,24
"116211",52,41,25,34,34,22
"26043",940,665,483,749,825,494
"100874034",40,25,19,37,47,31
"165918",792,526,359,621,654,419
"105374306",6,2,4,4,11,4
"105374307",0,0,0,0,0,1
"255798",0,0,1,2,1,3
"348793",429,299,203,287,385,171
"200933",777,522,386,510,583,302
"101929769",14,9,4,8,17,9
"375387",0,0,1,1,0,0
"84984",242,152,131,147,162,95
"54965",1274,867,596,637,755,406
"5062",2882,1899,1510,1854,1961,1099
"205564",695,455,406,795,801,512
"22916",2726,1999,1399,1893,2089,1162
"100874001",164,108,67,80,126,66
"152217",664,551,351,490,564,303
"80235",128,70,48,68,64,38
"4241",1894,1272,895,1084,1151,700
"100507057",316,202,121,131,147,103
"1739",1869,1215,812,997,1199,674
"100616216",0,0,0,0,0,1
"100507086",17,19,8,22,11,15
"105374308",1,2,1,4,0,2
"105374309",1,5,2,0,0,0
"100129516",10,9,3,2,4,3
"622",254,203,133,115,160,87
"220729",347,247,164,222,279,139
"112268458",95,63,57,142,122,81
"9711",706,414,309,1054,1160,624
"100126321",21,12,8,17,24,19
"84248",1827,1229,922,2275,2256,1294
"84859",984,653,466,917,1060,561
"105374310",9,2,2,8,6,2
"84223",262,188,147,162,172,99
"6165",7100,5857,4024,4303,5892,3223
"89782",321,180,152,221,227,136
"100873947",21,13,8,14,10,7
"348840",0,0,0,1,0,0
"728262",51,34,24,37,39,19
"105379426",31,30,20,18,23,11
"101928669",85,75,48,88,83,54
"152687",221,151,110,139,180,83
"255403",59,43,31,50,44,25
"642280",0,0,1,0,0,0
"654254",0,0,1,0,1,0
"105374336",0,0,0,0,3,1
"7700",250,160,116,188,205,126
"693156",1,0,1,0,0,0
"79963",93,59,44,70,70,29
"170960",624,367,293,562,576,323
"54872",1680,1083,823,1306,1199,676
"5158",5,2,5,5,15,1
"521",675,647,400,478,632,386
"4636",720,644,411,635,793,460
"84179",137,94,55,113,151,67
"10336",1111,790,520,836,911,522
"107986246",15,13,13,15,23,11
"100129917",80,56,39,137,181,95
"10815",19,22,5,14,15,12
"105374339",1,0,1,11,15,10
"105374340",8,5,8,9,7,3
"2580",2585,1804,1297,1983,2118,1185
"105374341",5,1,2,9,2,5
"84286",533,412,286,427,441,253
"1609",992,646,506,841,841,485
"10861",183,102,91,129,116,89
"3425",920,653,482,531,707,454
"53834",1318,863,615,629,765,391
"105374343",0,4,0,0,2,1
"285498",75,42,39,36,65,25
"105374344",0,0,1,0,1,0
"100379220",2,0,1,2,0,1
"10417",10,9,2,6,8,3
"100130872",9,6,2,9,12,6
"285463",1379,994,735,886,1075,565
"1487",4597,3186,2266,3089,3077,1766
"92070",196,152,97,132,130,78
"105374347",1,4,4,5,4,8
"105374346",4,1,3,0,5,0
"10296",2362,1646,1221,1567,1650,869
"57654",315,200,151,300,319,176
"152877",71,49,33,80,85,43
"105374349",0,0,2,0,0,0
"7884",2511,1802,1250,1686,1773,1109
"92305",1387,1130,698,955,1097,598
"10460",4576,3442,2330,2771,2922,1691
"112268460",816,572,388,424,561,298
"2261",979,564,419,702,835,396
"3954",3700,2569,1840,2200,2489,1439
"7468",5976,3894,2847,3277,3454,2096
"677770",11,14,6,4,5,5
"7469",982,689,558,769,895,549
"100126332",67,40,41,49,61,41
"401115",723,537,364,228,360,350
"339983",1393,992,697,646,733,461
"353497",218,149,119,152,155,109
"79441",466,338,242,401,367,187
"10608",1367,1015,671,631,746,451
"100616358",27,23,13,6,6,9
"57732",150,117,77,96,95,70
"105374352",10,4,7,5,6,4
"107986249",4,4,2,1,0,5
"402160",7,5,1,10,17,10
"105374353",3,3,1,16,14,12
"107986250",28,23,10,44,40,18
"6047",2622,1864,1276,1866,1898,1083
"8603",901,591,489,791,906,553
"79155",1479,1102,780,1123,1298,752
"102723763",0,0,0,4,2,2
"6452",336,218,150,169,172,94
"118",4237,2969,2083,2952,3018,1701
"10227",3125,2331,1642,2152,2427,1287
"317648",539,398,301,386,479,216
"8602",2763,1905,1401,1937,2121,1191
"2868",48,48,20,37,37,29
"100750326",0,4,0,5,4,2
"3064",2282,1417,1090,1363,1522,873
"345222",106,68,50,66,68,36
"6002",741,509,384,438,436,253
"3083",43,16,18,30,30,17
"105374354",4,10,3,10,9,3
"285489",135,91,71,95,124,64
"105374355",18,18,11,7,15,7
"4043",5310,3624,2454,3352,3818,1935
"285492",0,0,1,0,0,0
"105374357",3,6,3,3,3,1
"107986251",106,42,43,48,39,33
"152",386,324,205,190,278,170
"348926",319,226,146,176,228,118
"105374358",0,1,4,0,1,0
"101928217",1,0,0,1,3,0
"107986252",1,0,2,0,0,0
"85013",457,344,239,458,494,241
"55646",1040,797,584,745,1003,535
"166793",125,96,62,171,235,131
"27065",10,4,3,3,6,2
"53407",1115,909,530,931,1064,628
"104472519",1,1,0,1,0,0
"107986254",0,1,1,2,1,2
"100507266",35,24,15,13,25,7
"101928237",7,6,1,5,1,0
"109623454",0,1,1,0,0,0
"101928279",1,0,0,1,0,2
"4487",368,284,203,666,781,436
"54360",1,0,1,7,2,3
"107986256",1,1,0,1,3,0
"55351",1563,1123,747,864,909,529
"10141",1,1,2,2,2,0
"132884",286,154,105,200,244,129
"2121",1033,628,433,552,619,373
"1400",272,156,118,159,176,103
"389197",0,0,0,4,1,1
"152789",6,2,0,15,9,11
"7466",1653,1104,808,891,999,576
"5522",2007,1380,1027,840,1046,676
"105374365",1,1,2,0,0,0
"23324",1350,851,533,770,900,451
"93621",14019,10504,7690,9248,10598,6016
"105374366",75,63,30,50,64,29
"93622",631,440,287,401,438,248
"339988",7,4,1,5,13,4
"6286",1525,1166,834,1331,1597,749
"114932",1755,1218,898,1412,1578,817
"105378240",5,1,3,11,2,0
"55330",700,454,285,346,372,213
"105374367",0,3,0,1,0,2
"9778",1563,1024,674,905,961,569
"57533",1798,1178,822,774,824,428
"100129931",945,667,457,427,479,236
"257236",97,85,44,83,82,63
"93624",1273,821,603,877,1080,610
"80273",1974,1503,1027,1568,1730,944
"105374368",8,3,3,0,9,5
"105374370",2,4,3,5,6,1
"730971",13,9,2,11,17,9
"57537",127,67,51,81,105,50
"105374371",0,0,0,1,0,0
"768239",28,13,11,16,25,10
"84740",167,123,67,219,207,135
"60312",3058,1910,1389,3202,3303,1969
"389199",44,23,20,49,67,42
"84448",79,55,37,45,63,36
"54436",648,433,297,457,460,285
"105374373",4,4,1,0,1,0
"94031",81,43,34,26,29,24
"8310",418,288,200,244,270,159
"152992",316,207,141,297,259,187
"8532",26,14,4,9,9,5
"3166",24,14,16,37,23,21
"105369250",4,3,0,4,3,0
"100287144",0,0,0,2,1,1
"100287178",0,0,0,3,2,2
"100287205",0,0,0,1,1,0
"100287238",0,0,0,2,1,1
"100288520",0,0,0,5,5,4
"100287327",0,0,0,2,1,1
"100287364",0,0,0,2,1,0
"100287404",0,0,0,1,0,0
"100287441",0,0,0,2,1,1
"100287478",0,0,0,1,0,1
"100287513",0,0,0,2,1,0
"728369",0,0,0,1,1,0
"728373",0,0,0,1,1,0
"728379",0,0,0,1,0,0
"728386",0,0,0,0,1,0
"728393",0,0,0,1,1,0
"728400",0,0,0,1,1,0
"728405",0,0,0,0,2,1
"391627",0,0,0,3,2,1
"728419",0,0,0,1,1,0
"391622",0,0,0,2,2,0
"56606",48,32,13,20,26,19
"105374476",9,9,6,4,4,0
"9948",14730,10478,7743,9190,10451,6063
"100423011",1,0,0,0,0,0
"107986260",0,0,0,0,1,0
"85460",440,332,202,405,415,232
"116449",0,0,0,1,1,0
"102723525",2,0,0,0,0,0
"105374479",0,0,0,1,0,0
"9957",136,79,70,98,71,61
"107986178",2,1,1,2,2,0
"105374484",0,0,0,0,0,1
"107986179",0,0,0,1,0,0
"107986181",0,2,0,0,1,0
"105374493",3,3,3,13,8,4
"9364",457,287,236,409,423,227
"105374495",1,1,0,4,1,1
"285547",0,0,0,0,2,0
"579",65,40,26,86,144,67
"285548",0,4,2,4,6,3
"259282",4116,2567,1893,2724,3011,1671
"100847023",1,0,0,6,4,0
"101929071",0,5,3,4,4,1
"101929048",0,0,1,3,0,0
"107986182",45,36,28,28,35,23
"152742",103,78,44,74,83,50
"201853",1,0,2,3,2,2
"105374496",1,1,0,1,1,1
"441009",2,3,2,7,0,1
"132864",1328,898,630,1457,1502,836
"101929095",4,4,4,6,6,3
"114905",0,0,0,1,1,2
"107986185",0,0,0,0,1,0
"57545",487,356,239,249,275,152
"26234",1633,1135,813,1429,1457,736
"285550",552,395,300,440,528,278
"683",473,355,231,317,321,173
"952",365,253,185,1173,1162,572
"9982",119,68,55,59,97,45
"83888",0,0,0,1,0,0
"8842",6,1,4,4,4,1
"202018",857,566,414,644,624,377
"107986187",0,3,0,3,0,0
"202020",102,74,48,64,67,37
"105374505",0,0,0,0,1,0
"9079",1,2,2,1,1,1
"5860",2359,1787,1258,1409,1605,916
"51056",2244,1699,1151,7467,7994,4205
"80306",773,538,395,657,774,396
"27146",72,57,32,78,83,43
"54876",484,329,207,378,431,251
"64151",2662,1735,1222,1480,1364,851
"254251",660,476,302,406,448,261
"105374511",0,0,2,0,0,0
"9353",5,7,2,27,22,8
"133015",363,293,182,256,297,159
"80333",33,29,16,24,23,13
"100505912",12,10,9,21,13,11
"166647",1642,1049,774,651,704,411
"113219450",0,1,0,2,0,1
"57733",1,0,1,2,1,3
"105374524",0,0,0,2,1,0
"105374528",8,10,5,6,5,2
"105374527",11,13,4,5,6,5
"10891",753,505,361,478,539,251
"693158",4,11,4,3,5,1
"1665",7225,4736,3264,5145,5146,2890
"107986266",2,1,0,4,1,1
"6649",1,4,1,0,2,0
"91050",245,161,114,177,250,117
"102723675",6,5,4,7,4,5
"55203",6,9,5,5,5,4
"105374534",1,1,1,7,7,6
"51091",320,196,167,320,371,168
"285540",33,32,25,30,33,19
"105374535",18,9,5,6,8,6
"55300",610,414,282,1306,1284,721
"29063",312,229,185,241,257,153
"29945",755,518,366,505,503,261
"105374536",0,0,0,0,1,0
"101929161",0,1,0,0,0,0
"10568",0,0,3,2,2,0
"23231",3488,2258,1568,1998,2081,1257
"102723733",11,4,3,7,12,9
"105374538",8,5,4,6,12,6
"389203",815,614,440,440,540,272
"105374540",0,0,0,2,0,0
"3516",1044,712,488,865,1030,541
"886",0,0,0,0,0,1
"55296",355,249,149,328,365,184
"105374546",5,1,1,35,37,20
"57620",809,509,350,746,827,454
"105374548",1,0,0,0,0,0
"105374557",1,0,2,0,0,3
"107986268",1,0,0,0,0,0
"5099",18,5,10,23,23,8
"102723778",0,0,0,0,1,0
"105374565",2,0,2,0,0,0
"107986222",2,0,0,0,0,0
"102723828",139,83,68,99,132,63
"105377651",4,6,14,18,17,3
"102723846",77,62,30,43,58,39
"105374394",0,0,0,1,0,0
"105374396",1,0,1,1,3,0
"116984",161,103,71,358,387,190
"439933",1,1,0,4,5,0
"401124",0,0,0,0,3,0
"57495",0,0,0,1,1,0
"55286",2,4,3,8,11,3
"768211",357,240,176,217,254,163
"55276",975,672,441,576,624,343
"23216",1183,796,602,940,932,472
"79667",73,37,16,31,41,38
"51274",992,640,452,848,797,492
"105374413",0,0,0,0,1,1
"81793",1,3,5,6,4,3
"7096",55,33,36,40,29,14
"10333",405,273,190,213,223,138
"92689",1184,802,542,623,708,474
"693159",0,0,0,0,2,0
"80008",616,431,332,565,730,319
"51088",3091,2201,1502,1970,2266,1254
"105374418",5,8,5,6,2,3
"57728",417,282,163,315,367,207
"5981",2035,1387,977,1192,1294,732
"152831",92,63,37,37,53,31
"6133",5291,4067,2788,3128,3895,2226
"11019",462,347,241,268,301,170
"401127",11,4,6,7,11,6
"7358",18814,13060,9287,10023,11779,6777
"100885776",92,56,42,67,71,38
"201895",1397,995,702,1334,1474,781
"105374419",27,20,15,13,16,15
"3093",3692,2672,1768,2219,2668,1517
"23244",4765,2878,2349,2739,3064,1693
"344967",7,1,2,6,3,1
"55728",405,192,170,298,304,173
"399",6,5,1,6,8,2
"101060498",2,2,0,1,0,1
"55584",14,5,7,3,12,5
"54502",3344,2303,1597,2041,2289,1211
"79730",133,88,61,128,112,65
"323",304,206,128,301,289,165
"101410542",3,6,2,3,5,4
"7345",24180,17676,13110,17534,19786,10760
"22998",10113,6690,4784,7255,7595,4132
"105374423",11,12,8,9,16,8
"105374421",68,50,44,49,59,38
"8929",0,0,0,0,0,1
"105374425",0,0,0,0,0,1
"101927074",1,1,5,0,0,2
"105374426",10,0,1,7,14,10
"55161",2684,1855,1215,1921,1966,1115
"285429",38,18,20,62,81,30
"10463",2120,1453,1054,1231,1486,815
"389206",1,0,0,0,0,1
"152573",6,5,3,2,1,1
"10396",44,24,24,28,34,22
"105374436",0,0,0,1,0,0
"100506827",7,2,0,10,3,5
"285525",1,0,0,5,3,0
"60558",1041,642,520,575,596,341
"132789",416,331,218,241,284,141
"105374439",1,1,1,0,1,2
"2555",1,0,2,0,0,1
"170712",0,0,0,0,0,1
"2560",0,0,0,0,1,0
"54951",892,617,434,502,534,301
"107986277",0,0,1,0,0,0
"57205",386,206,159,576,551,298
"10699",2,6,3,28,14,6
"105374444",1,3,0,0,3,1
"101927179",52,25,17,53,45,27
"152518",394,230,160,397,374,213
"101927157",13,5,5,8,9,6
"1259",12,10,5,10,13,3
"152519",34,26,12,69,66,38
"7294",30,20,18,35,70,16
"7006",136,67,55,141,127,64
"105374445",7,11,4,11,4,6
"57606",1040,818,552,749,890,506
"201780",184,120,83,123,126,73
"326340",177,116,81,153,182,89
"285527",679,406,258,546,530,319
"54940",4770,3236,2292,2710,3151,1633
"100861517",50,21,12,31,33,28
"132299",2624,2102,1384,1549,1955,1116
"80157",0,0,0,2,1,2
"101927209",3,4,4,3,3,6
"23142",1510,1078,730,891,1099,601
"339977",41,20,20,41,42,25
"6443",2224,1548,993,1318,1534,898
"105377652",0,0,0,3,3,3
"132671",381,221,171,301,323,163
"64854",698,461,303,448,444,293
"643783",38,18,15,18,37,17
"57291",1141,870,661,627,805,465
"100616436",5,1,3,2,8,2
"677810",11,7,3,19,27,9
"100288413",42,54,33,27,38,15
