"","WT_Mock_1","WT_Mock_2","WT_Mock_3","KO_Mock_1","KO_Mock_2","KO_Mock_3","WT_ZIKV_1","WT_ZIKV_2","WT_ZIKV_3","KO_ZIKV_1","KO_ZIKV_2","KO_ZIKV_3"
"100189436",0,0,0,0,0,2,0,0,0,0,0,0
"100189410",2,0,0,0,2,0,0,3,0,0,1,0
"101928743",0,0,0,1,0,0,0,0,1,1,0,2
"100189040",1,0,0,0,0,0,0,1,0,0,0,0
"100189048",0,0,0,0,0,0,0,0,1,0,0,0
"11118",665,469,369,364,318,463,998,1129,592,359,462,337
"10385",245,174,109,167,178,234,763,813,465,963,1201,940
"11119",463,317,207,235,221,300,1463,1549,848,554,755,644
"54718",40,21,25,31,41,54,104,106,54,120,144,132
"10384",152,93,76,67,50,104,360,420,226,96,153,153
"11120",1203,856,577,660,553,859,1754,1933,1020,886,1372,1164
"285819",13,9,9,5,6,5,11,12,9,13,17,13
"107986583",94,66,47,87,74,124,68,79,49,60,96,70
"696",1,3,1,2,2,3,7,5,5,4,16,6
"493812",298,202,140,257,205,308,183,216,108,169,249,184
"7231",0,0,0,1,0,0,0,3,3,1,1,1
"100189227",1,0,0,2,0,0,1,1,2,0,0,0
"10473",1726,1245,806,1237,1023,1450,1196,1275,702,680,958,797
"100189308",0,0,0,0,1,0,1,0,0,0,0,0
"100189153",0,1,1,0,0,0,0,0,0,0,0,2
"100189110",4,2,2,3,3,6,3,3,1,1,3,6
"105374988",3,6,3,3,3,0,3,10,5,11,5,2
"100189162",0,1,1,0,0,0,0,3,0,1,1,3
"100189219",0,0,0,0,0,0,0,0,0,0,3,1
"29777",976,763,507,637,495,746,793,861,484,568,766,635
"105374989",2,0,1,0,0,0,0,0,0,0,0,0
"79692",501,308,207,320,253,409,412,463,299,280,383,324
"102724851",69,29,31,40,48,65,36,44,19,28,25,26
"105374991",0,0,0,0,0,0,0,0,1,1,0,0
"100189401",0,0,0,0,0,0,0,0,0,0,0,2
"100189391",0,0,0,0,0,0,1,0,0,0,2,2
"100189354",1,0,0,0,0,0,0,0,0,0,0,0
"100189372",0,2,1,0,0,1,4,9,1,2,3,4
"107986682",1,0,0,0,0,0,1,0,0,0,2,2
"107986683",0,0,0,0,0,0,2,0,0,0,0,2
"105374992",0,0,0,0,0,0,0,0,0,1,0,0
"387036",19,22,7,17,23,21,15,18,5,16,20,12
"100133205",9,2,4,1,4,5,9,16,7,12,11,11
"100270746",15,7,13,15,15,20,23,27,12,14,24,14
"100189028",0,2,2,2,0,5,4,4,1,5,7,4
"100189157",3,2,3,1,2,2,1,1,1,6,10,1
"8970",78,47,32,46,31,47,90,99,53,55,90,83
"8969",36,24,23,34,33,37,70,82,46,68,78,64
"85236",1408,1067,783,858,733,1036,1010,1239,678,589,934,753
"8294",21,15,15,7,9,21,51,66,28,33,29,33
"85235",5,7,4,6,4,7,25,36,20,18,24,24
"100422934",1,0,1,4,0,5,14,14,10,6,6,7
"100189196",4,5,2,1,5,1,18,37,14,16,22,14
"100188987",1,5,4,0,1,1,2,1,2,0,0,0
"100189143",3,0,0,1,1,1,0,1,2,0,0,3
"100189336",0,0,1,0,0,0,0,1,0,0,0,0
"100189167",1,0,2,0,1,0,0,2,0,0,0,0
"100189067",7,5,5,9,10,7,12,9,8,12,13,15
"100189014",0,0,0,0,1,0,0,1,1,0,1,0
"100189310",10,6,2,9,6,7,15,14,8,11,15,10
"10279",287,218,141,81,76,120,234,239,140,100,168,129
"100189329",0,1,0,0,0,0,1,0,0,0,0,0
"94026",4,2,2,1,0,0,6,1,0,0,3,1
"105375107",0,0,3,0,0,0,1,1,0,0,0,0
"100189345",0,0,0,0,0,0,1,0,0,0,0,0
"7754",23,16,10,2,1,0,5,10,2,0,2,3
"346157",54,25,19,18,31,46,32,30,16,10,29,31
"7738",245,154,98,140,138,170,157,174,80,136,184,143
"105375001",21,19,14,22,27,26,19,25,16,10,20,20
"100189077",1,1,0,0,0,0,1,0,0,0,0,0
"100189158",1,1,2,1,0,1,1,1,1,1,1,1
"23437",3,0,1,0,2,0,2,4,3,4,6,7
"100189247",0,0,0,0,0,0,0,5,0,0,0,0
"23540",0,0,0,0,0,0,1,0,1,0,0,0
"790951",3,3,2,2,3,3,4,1,1,2,6,0
"100189352",5,9,1,4,5,7,14,26,9,17,12,14
"94017",3,4,1,1,0,4,3,4,3,4,0,3
"100189070",1,0,0,0,0,0,2,0,0,0,0,2
"100189390",0,0,0,0,0,0,0,2,0,1,0,0
"100189200",0,0,0,0,0,0,1,1,0,0,0,0
"100189053",0,0,0,0,0,1,0,1,0,0,1,1
"100189297",0,0,0,0,0,1,0,0,0,0,0,0
"100189038",11,15,9,8,8,14,28,37,26,27,30,35
"100189301",0,0,0,1,0,0,0,1,0,0,0,0
"100189131",2,5,0,0,1,3,5,5,6,2,7,4
"100189095",0,1,0,0,0,0,1,0,0,0,0,0
"100189428",1,1,1,0,1,1,8,1,0,1,0,0
"100189205",1,2,0,2,1,3,0,3,2,1,4,1
"100189161",0,0,0,0,0,0,0,0,0,0,0,1
"100189340",0,0,0,0,0,2,0,0,4,0,0,3
"100189071",4,1,0,0,0,0,4,2,2,0,0,1
"100507173",60,44,28,41,27,61,72,64,40,76,109,92
"100189101",0,0,1,0,0,0,0,1,0,0,1,1
"791230",0,0,0,0,0,0,0,0,1,0,0,0
"100131289",0,0,0,0,0,0,0,2,0,0,0,0
"100189214",0,0,0,0,0,0,2,0,0,0,0,0
"100189074",0,0,0,0,0,0,0,1,0,1,0,0
"8340",21,5,10,15,6,18,24,34,18,11,21,16
"8329",57,38,27,33,25,37,57,84,40,46,54,39
"8357",152,128,99,98,96,131,200,233,126,103,147,139
"8331",15,14,5,7,7,11,25,14,14,14,16,16
"8342",6,0,1,4,4,1,8,18,4,4,5,4
"8363",46,47,30,18,27,27,60,72,22,28,26,29
"8362",59,39,28,16,33,32,72,101,41,59,65,44
"8330",13,9,3,13,4,14,66,69,30,47,68,56
"8341",4,10,10,13,4,11,35,48,25,50,63,50
"8332",5,3,1,3,1,4,4,8,1,6,9,3
"3009",0,1,0,1,0,3,4,4,1,1,2,3
"8354",1,4,1,0,0,2,3,3,8,2,2,3
"8368",0,3,1,0,0,0,2,4,2,2,5,4
"8356",33,43,30,36,22,40,66,102,49,54,86,67
"8336",32,43,10,28,20,30,80,118,73,67,79,73
"8348",4,11,7,14,1,9,14,20,24,15,25,29
"100189315",0,0,0,0,0,0,0,0,0,2,1,0
"100189314",0,0,0,0,0,0,3,3,0,1,1,0
"81697",6,0,1,1,0,3,3,0,1,3,1,6
"26212",16,8,3,17,8,11,30,46,19,27,42,39
"442179",0,0,3,0,0,1,1,2,2,2,1,0
"7718",63,45,30,28,39,35,74,97,39,64,58,36
"221584",33,30,28,7,2,15,40,48,29,46,42,37
"100129195",281,252,175,97,75,143,212,251,166,99,119,105
"80345",198,126,87,73,94,123,172,188,122,111,152,136
"7745",542,295,208,364,314,472,545,608,364,380,469,388
"651302",21,15,4,4,5,18,22,20,14,10,23,22
"100189159",0,0,0,0,0,0,0,3,0,0,0,0
"222699",97,70,59,42,53,54,164,175,91,83,127,87
"7746",319,196,170,247,218,340,278,305,148,228,347,253
"387032",191,145,87,124,109,128,152,187,104,127,173,159
"222698",0,0,0,0,0,3,1,3,2,1,2,2
"7741",352,215,134,204,201,274,298,299,163,218,311,282
"84547",367,285,199,262,188,267,342,319,179,265,333,280
"64288",188,131,97,107,75,131,180,211,105,156,187,161
"80317",214,156,100,125,112,155,177,198,89,123,146,120
"9753",368,214,166,219,233,358,486,443,296,433,611,484
"105374998",0,0,0,0,0,1,5,2,0,2,1,1
"222696",2,0,0,0,0,0,5,5,3,10,4,10
"100189118",0,0,1,0,0,0,0,0,0,0,0,0
"257202",0,0,0,0,0,0,0,0,0,0,1,0
"2880",0,0,0,0,0,0,0,1,0,0,1,2
"100189348",0,0,0,0,0,0,0,1,1,0,0,0
"107986586",1,0,0,0,0,0,1,0,0,0,0,0
"114821",175,106,67,85,84,100,223,247,134,205,260,201
"100189138",0,0,0,0,0,1,0,0,0,0,1,1
"100189299",0,0,0,0,1,2,3,6,1,1,1,1
"105374996",3,3,2,1,2,1,0,7,0,0,1,0
"100189114",0,0,0,0,1,0,0,0,0,0,0,0
"100189360",0,0,0,0,0,0,0,0,0,0,0,1
"387055",3,0,1,0,1,2,1,2,1,0,0,2
"100189046",0,0,2,0,0,1,1,2,1,0,0,2
"100189400",0,0,0,0,0,0,2,0,0,0,1,0
"100189395",2,1,2,1,0,0,13,9,5,8,4,4
"100189092",1,2,1,0,1,1,0,2,0,0,1,1
"100189433",0,1,0,1,0,0,0,1,1,0,0,0
"100189033",0,0,0,0,0,0,0,0,0,0,0,2
"100189178",0,0,0,0,1,0,0,0,0,0,0,0
"100189365",9,11,6,4,8,8,19,40,13,21,24,12
"100189332",0,1,0,0,1,1,0,3,2,1,3,6
"100189082",0,0,0,0,0,1,2,0,0,0,0,0
"100189137",0,0,0,0,0,0,0,2,2,3,0,2
"100189170",0,0,0,0,0,0,1,0,1,0,0,0
"100189066",0,0,0,1,0,0,1,1,3,1,4,0
"401242",0,0,0,1,0,1,8,4,5,14,14,5
"100189295",0,0,0,0,0,0,0,0,0,0,1,0
"100189084",0,0,0,0,0,0,0,0,1,0,0,0
"107987402",1,1,0,0,0,0,1,1,0,0,2,1
"414760",1,1,1,1,0,3,4,9,3,4,3,1
"5987",2412,1606,1130,1724,1380,2037,1800,1981,1092,1227,1746,1270
"100189202",0,0,0,0,0,0,2,0,0,0,0,0
"729583",0,0,0,0,0,0,2,2,0,0,0,1
"100189216",0,0,0,0,0,0,1,0,0,0,0,0
"100189234",0,0,0,1,0,0,1,0,0,0,0,0
"100189111",0,0,0,0,0,0,0,0,0,0,1,0
"100189254",0,0,0,0,0,0,0,1,0,0,0,0
"414761",37,45,33,38,32,45,106,140,75,82,144,134
"100189169",14,6,4,15,7,11,6,5,2,14,10,8
"282890",43,23,21,16,6,20,72,62,37,26,26,21
"105375002",0,1,0,0,0,0,0,0,0,0,0,0
"100129636",0,0,0,1,0,0,0,4,0,1,0,2
"26692",0,0,0,0,0,0,0,1,0,0,0,0
"442186",0,0,0,0,0,0,0,0,0,0,1,0
"105375006",0,0,0,0,0,0,0,1,0,0,0,0
"26531",0,0,0,0,0,0,0,1,0,0,0,0
"26716",0,0,0,0,0,0,0,0,0,0,0,2
"105375008",0,0,0,0,0,0,0,1,0,0,0,0
"105375009",0,0,0,0,0,0,0,0,0,0,0,1
"100507362",0,0,0,0,0,0,1,1,0,1,0,0
"10537",9,9,5,7,3,6,46,46,33,9,20,12
"7932",6,9,3,4,0,3,4,10,4,8,5,10
"2550",638,444,286,311,319,427,467,528,319,234,331,287
"4340",0,0,0,0,1,0,0,0,0,0,1,0
"346171",3,7,3,3,2,1,2,4,2,2,1,3
"3134",177,137,83,44,45,52,1850,2113,1042,475,706,610
"285830",26,23,13,12,6,10,95,114,51,31,40,31
"340198",0,1,3,1,0,1,9,4,0,0,2,0
"54435",0,1,1,1,0,0,18,21,6,13,10,13
"352962",0,1,1,0,0,0,17,13,3,6,8,9
"3135",1,1,1,1,0,1,9,1,16,0,9,1
"105375010",5,0,3,2,3,4,5,8,7,4,4,2
"3136",411,279,235,258,238,311,719,683,350,395,675,491
"80868",16,3,3,4,2,6,72,96,56,14,46,37
"3105",4723,3333,2561,3073,2859,3867,7360,7763,4217,4681,6906,5456
"10255",17,12,8,5,9,12,11,21,12,13,20,17
"80862",105,83,55,62,82,85,107,93,68,74,127,100
"3137",21,17,13,18,16,17,124,21,41,34,73,48
"30834",357,292,234,326,214,382,383,386,212,304,457,325
"6992",1553,1217,825,875,736,1035,1138,1133,639,512,835,632
"80352",108,83,69,74,60,74,92,159,62,56,96,64
"11074",922,602,391,1,2,23,842,971,505,13,16,18
"104533120",126,80,60,0,0,1,107,129,66,2,1,3
"135644",14,22,10,0,0,0,21,29,8,0,0,0
"10107",7,3,3,0,1,0,12,17,6,1,5,1
"89870",10,9,3,0,1,1,12,23,10,0,1,0
"7726",2642,2027,1306,1262,1069,1553,4140,5085,2881,2899,4023,3221
"414778",12,12,9,14,10,18,10,14,7,9,22,12
"3139",37,28,25,19,18,33,115,277,70,92,132,100
"414777",758,506,383,519,484,688,543,605,330,432,647,526
"56658",410,295,190,248,196,284,390,436,243,351,473,417
"202658",430,379,240,345,289,381,371,450,228,264,373,327
"79897",352,328,199,292,248,327,282,367,172,202,282,245
"105375012",0,0,0,0,0,0,5,0,3,3,4,3
"3133",2655,1774,1248,1553,1379,1877,8994,10061,5158,2693,3854,3223
"111082993",3,4,1,1,0,1,4,2,5,7,11,4
"2794",1933,1374,1016,1198,996,1468,1282,1471,790,886,1265,930
"80742",620,438,346,497,508,678,468,511,320,410,514,454
"107986587",17,17,11,12,13,24,21,21,15,14,19,17
"23",5075,3670,2688,3269,2906,4040,3448,3915,2258,2213,3243,2753
"100126314",4,1,1,7,3,5,6,3,3,4,6,4
"5514",3156,2126,1528,1588,1493,2034,3037,3268,1830,1529,2264,1785
"28973",2202,1654,1144,1512,1270,1848,1238,1557,917,830,1319,1085
"79969",435,279,199,299,237,358,329,414,261,267,319,224
"221545",447,372,257,292,199,333,393,384,229,185,259,206
"8449",1993,1395,1046,1206,1086,1567,1540,1649,912,971,1324,1026
"170954",1279,874,672,1098,977,1489,2116,2095,1154,2306,3215,2553
"11270",658,502,315,579,514,740,509,616,341,294,487,365
"9656",1475,883,629,966,937,1262,867,973,514,620,926,725
"106478956",175,98,74,128,113,169,102,115,64,65,117,74
"203068",64737,49135,33647,44414,38188,53827,34903,39925,23618,17460,26260,21580
"10211",7154,5432,3792,4195,3237,4819,5399,6124,3133,2590,3892,3200
"105379695",663,463,361,411,371,497,834,1037,554,625,897,826
"8870",2504,1820,1281,1561,1327,1835,3204,3644,2019,2304,3480,2794
"105375013",3,1,3,3,5,5,8,3,1,10,10,20
"401247",1,7,8,5,3,2,7,10,9,6,12,8
"105375014",0,0,0,0,0,0,0,3,0,0,1,1
"780",4424,3038,1949,2273,2037,2755,2806,3081,1881,1317,2068,1577
"100616237",3,0,0,1,1,1,1,0,2,0,1,0
"2968",822,576,394,601,522,715,606,753,411,436,622,526
"57176",1481,1085,770,917,847,1172,1219,1285,662,623,941,725
"389376",1,0,0,0,0,0,0,4,0,1,0,0
"135656",6,7,6,2,2,3,1,4,2,2,1,1
"102723346",2,3,0,0,1,0,0,1,0,0,1,0
"394263",0,0,0,0,0,0,1,0,1,0,2,1
"100507679",1,0,0,0,0,0,2,3,2,0,2,1
"285834",0,0,0,0,0,0,0,1,0,1,1,0
"29113",0,0,0,0,0,1,2,9,3,9,10,9
"170679",42,46,26,17,15,14,117,137,65,52,58,53
"1041",21,14,7,7,14,3,50,53,22,42,44,20
"170680",31,22,5,3,5,5,88,88,47,45,52,39
"54535",836,613,438,609,529,805,566,599,328,310,452,381
"6941",1271,831,633,873,665,949,637,713,408,321,490,402
"5460",125,110,48,87,85,112,114,162,74,105,182,157
"100130889",81,55,46,65,76,96,125,175,79,144,202,140
"253018",18,15,14,17,23,33,220,267,149,175,293,181
"3107",3146,2102,1500,1451,1319,1636,8941,9774,5003,2923,4437,3574
"112267902",0,0,0,0,0,0,2,0,1,1,5,1
"3106",399,282,217,202,186,260,3431,3478,1714,1496,2120,1770
"102465537",0,0,0,0,0,0,6,5,3,5,3,3
"101929072",79,42,25,37,40,39,129,131,77,61,86,75
"100507436",1495,1007,712,808,737,1014,1068,1289,712,787,1149,1019
"101929111",0,1,1,0,0,0,0,3,3,2,3,0
"10866",12,7,4,4,2,3,36,37,22,18,21,12
"352961",0,0,0,0,0,0,6,6,9,3,1,7
"102725068",12,8,7,9,5,5,42,70,24,27,27,26
"4277",466,277,224,229,261,351,424,426,223,176,249,234
"401250",10,8,5,6,5,9,9,11,5,4,8,5
"100532737",4862,3713,2580,3322,2902,3936,3430,3984,2215,2153,3111,2499
"7919",4833,3696,2565,3311,2889,3925,3411,3962,2197,2141,3089,2488
"692233",4,2,0,2,1,2,3,2,2,0,2,0
"692199",40,32,9,33,24,32,45,45,20,30,37,39
"106478957",8,9,6,2,7,9,6,16,6,7,14,11
"534",51,33,19,15,12,21,63,61,37,27,29,30
"4795",464,326,245,391,321,351,559,610,390,543,725,571
"100287329",15,4,6,6,4,5,23,24,15,13,18,31
"4049",20,7,9,6,6,21,60,71,34,77,110,80
"7124",2,3,0,2,2,12,51,38,19,63,86,61
"4050",10,6,3,5,4,20,109,140,60,143,205,129
"7940",5,2,4,2,1,12,39,72,40,84,116,106
"259197",0,0,0,0,0,2,2,2,6,2,5,4
"199",0,0,0,0,0,1,0,1,0,1,1,0
"7916",8929,5748,3959,5859,5686,8076,5754,6438,3884,4330,6145,5120
"677820",2,1,0,5,1,1,0,4,1,0,0,2
"102466745",4,2,1,2,1,3,1,2,3,2,3,3
"7917",7004,4985,3420,4131,3736,5159,4673,5181,2878,2795,3960,3241
"55937",196,134,92,110,116,140,144,168,114,94,128,112
"57827",603,448,300,373,299,444,407,491,234,222,372,297
"7918",817,641,491,631,537,717,579,752,401,414,654,555
"1460",1877,1424,957,1479,1199,1678,1428,1652,898,963,1433,1192
"58496",205,113,111,159,112,186,177,193,99,97,204,104
"80741",15,11,9,12,12,25,10,28,19,10,18,19
"105375019",64,38,30,47,39,49,53,63,34,31,37,47
"7920",1157,789,573,735,624,893,981,1094,524,534,765,592
"105375018",12,7,7,10,11,5,14,21,10,11,11,8
"100616230",0,0,0,0,0,0,0,1,1,1,2,0
"110599563",0,0,0,0,0,1,1,3,2,0,1,2
"259215",0,0,0,0,0,1,0,2,2,0,1,0
"79136",1,1,0,0,0,0,0,2,0,0,0,0
"58530",0,0,0,0,0,0,1,1,1,0,0,2
"80740",1,1,1,2,1,0,4,7,1,0,6,2
"80739",8,1,2,1,4,4,6,17,2,13,12,14
"23564",1118,886,610,592,483,677,732,900,483,422,683,497
"1192",12123,9111,6174,6170,5091,7525,8553,9306,5094,3771,5547,4671
"105375020",4,5,5,1,1,3,3,3,3,2,2,1
"100532732",493,319,241,308,292,394,275,321,178,159,249,221
"4439",429,264,205,253,244,335,230,276,153,141,213,187
"401251",68,51,32,47,44,53,35,44,24,17,38,30
"80737",327,167,129,74,87,86,174,174,80,48,80,72
"104413891",60,32,18,27,23,35,28,35,20,11,21,17
"7407",6067,4088,2894,4433,3927,5318,3726,4180,2430,2634,3948,3290
"57819",935,774,501,698,607,804,687,682,405,295,472,376
"3305",326,223,139,174,124,289,214,345,158,83,131,112
"3303",42819,30581,21335,30498,25343,36745,38054,40795,23092,17504,25868,21482
"3304",37343,26701,19115,25918,21975,32093,33740,37282,21233,15712,23366,19577
"50854",1881,1433,992,1627,1351,1897,2183,2370,1249,2234,3374,2706
"26801",57,35,27,47,38,61,29,45,35,26,33,40
"26797",44,31,19,29,31,30,32,40,17,18,18,26
"4758",1650,1079,781,787,686,994,1175,1277,677,740,1089,908
"80736",2,3,3,1,0,0,4,6,3,2,0,0
"10919",2779,1928,1434,2139,1853,2695,1487,1779,1028,894,1285,1085
"107986588",431,330,225,357,310,419,220,304,169,134,200,170
"717",70,50,42,55,40,69,88,97,44,27,58,34
"221527",528,394,264,401,360,520,297,375,205,156,272,192
"102060414",2,1,0,2,1,0,6,11,5,4,2,8
"629",647,370,279,60,65,98,2859,3172,1522,574,759,658
"7936",2701,2173,1554,2149,1668,2314,1710,2164,1189,1329,1986,1628
"100302242",1,2,1,1,0,1,5,4,2,2,2,3
"6499",1957,1364,1010,1459,1240,1770,1729,1704,941,1172,1583,1307
"1797",539,445,291,419,385,572,633,731,417,485,658,546
"8859",387,357,190,343,293,391,613,722,332,453,642,515
"720",124,84,55,66,62,67,382,427,197,129,147,107
"1590",5,4,4,1,4,1,29,38,19,22,28,19
"7146",4,6,3,1,2,2,47,62,27,38,33,32
"721",121,67,48,52,51,46,370,406,187,113,128,92
"1589",4,3,0,0,1,0,22,17,7,5,10,8
"7148",44,20,21,17,18,19,138,137,72,102,137,98
"1388",3001,2012,1382,1645,1561,2176,1790,2093,1146,931,1268,1082
"63943",290,207,168,263,210,310,207,228,109,165,278,207
"80863",37,36,32,37,21,56,29,55,20,32,28,28
"100507547",76,49,33,33,30,48,44,44,29,20,31,21
"9374",401,252,212,198,176,224,203,222,152,71,116,114
"100532746",325,216,154,181,139,209,182,188,133,83,121,105
"80864",82,66,38,72,46,85,56,65,42,34,51,38
"10554",2352,1753,1267,1261,1150,1613,1637,1809,1021,844,1200,973
"102466190",210,143,105,111,101,156,129,160,93,70,108,93
"6048",1644,1234,960,838,669,962,1082,1171,662,561,854,659
"102465500",3,1,1,1,1,1,3,2,1,0,2,1
"177",139,94,82,101,85,159,161,221,96,164,217,169
"5089",1520,1112,769,1033,969,1295,1130,1523,930,1013,1406,1143
"63940",9,16,13,17,6,15,34,35,36,37,42,19
"4855",8,14,4,10,11,16,23,25,16,13,32,20
"101929163",1,2,1,0,1,0,3,9,0,1,2,1
"10665",0,0,0,0,0,0,3,16,4,7,4,4
"414764",1,0,2,1,0,0,1,6,0,0,0,0
"56244",0,0,0,0,0,0,0,1,0,0,2,2
"3122",0,1,5,0,2,11,5,0,0,1,6,4
"3127",0,0,0,1,0,2,2,0,0,0,2,3
"3123",1,2,1,1,0,4,2,0,0,9,4,9
"3117",0,0,0,0,0,2,0,0,0,0,1,2
"3119",0,1,0,0,0,0,0,0,0,1,1,0
"3118",0,0,0,0,0,0,0,0,0,0,1,1
"3120",0,0,0,0,0,0,0,0,0,0,2,0
"3112",8,3,6,9,1,3,84,110,62,38,58,52
"6891",2085,1316,993,1606,1356,2027,6655,6970,3630,1792,2684,2168
"5696",703,573,398,269,247,292,2979,3589,1871,483,629,575
"100507463",281,191,131,169,129,206,1742,1917,966,441,684,580
"6890",2075,1355,1047,1228,1032,1569,12600,12933,6832,3263,4534,3979
"5698",494,377,241,336,287,358,3525,4112,2093,650,951,825
"100294145",1152,814,518,337,292,424,574,616,361,177,230,162
"3109",812,597,344,51,42,57,356,517,237,22,31,31
"3108",337,221,152,49,31,73,197,214,96,44,69,42
"6046",6431,4540,3138,3708,3303,4727,8910,9893,5399,7023,9727,7958
"3111",1,1,0,0,1,1,6,6,7,5,4,4
"3113",2,3,0,0,2,9,1,2,0,4,4,5
"3115",0,0,0,1,2,2,0,0,0,2,0,0
"3116",0,2,0,0,0,0,0,0,0,0,0,0
"105375021",0,0,0,0,0,0,0,3,0,1,0,0
"1302",192,93,71,127,88,164,277,283,123,224,318,255
"6257",1760,1276,881,1203,1049,1557,1288,1386,743,824,1236,1115
"7922",5679,4030,2773,3052,2744,3806,3563,4123,2230,2079,3160,2479
"7923",344,297,195,284,206,313,265,282,137,130,246,208
"407002",0,5,0,4,0,1,4,6,0,1,4,1
"6015",1471,1178,811,1099,997,1327,1096,1433,774,988,1375,1105
"105375022",8,13,9,1,4,5,23,34,21,13,16,13
"414765",164,161,100,138,121,161,100,165,88,70,114,96
"6293",1186,900,602,733,715,1007,715,779,457,480,747,580
"6222",15400,12334,8649,16113,13049,18692,9715,12074,6622,9353,13089,10913
"8705",2,8,2,2,4,4,9,5,3,0,4,0
"9277",2389,1904,1320,2157,1787,2299,2019,2229,1285,1316,1934,1670
"102466754",0,0,1,1,1,1,3,6,1,3,1,3
"10471",1892,1603,1083,1562,1221,1686,1214,1699,961,913,1299,1145
"102465501",13,14,12,10,11,11,12,12,8,8,13,9
"5863",964,645,486,590,530,686,1081,1262,715,728,982,781
"6892",3416,2171,1600,2025,1791,2548,4649,5468,2945,2686,3850,3024
"9278",369,275,199,275,182,319,316,322,220,153,267,220
"1616",2230,1653,1121,1581,1488,2068,1503,1781,1035,1118,1690,1356
"113523636",2,1,0,1,1,1,0,2,0,0,1,1
"3833",2201,1582,1192,2026,1674,2438,1327,1463,859,952,1380,1154
"5252",865,643,462,573,511,716,718,894,463,493,761,562
"51596",3643,2881,2131,2623,2162,3128,2762,3069,1627,1531,2233,1854
"8831",592,421,277,381,322,482,371,397,249,242,324,256
"100847012",6,9,4,5,5,5,5,5,5,4,7,4
"221504",608,437,279,409,440,611,310,360,235,293,346,295
"107986537",0,0,0,0,0,0,3,0,0,0,0,0
"578",947,640,481,483,417,645,769,846,506,394,581,433
"449520",1,3,0,0,1,2,3,6,3,6,8,4
"401253",0,0,1,1,0,0,2,2,1,5,5,1
"3710",4109,2559,1936,1925,1909,2707,2490,2637,1620,1382,1993,1569
"101929188",31,29,16,29,11,37,35,45,26,27,20,35
"84300",1339,1218,773,992,825,1167,789,1054,571,629,843,675
"100500873",16,8,6,9,10,17,2,6,11,5,8,9
"117283",0,1,0,1,0,0,2,6,7,2,3,4
"221496",3341,2261,1527,2495,1977,3233,2088,2500,1432,1842,2496,2074
"105375024",1,0,0,4,3,2,13,23,13,12,14,13
"4295",0,0,0,1,2,0,2,8,3,2,6,3
"105375025",0,0,0,0,0,0,0,0,1,0,0,0
"105375027",0,0,0,1,0,0,2,0,0,1,1,1
"100507584",2,5,1,2,1,4,0,1,0,0,0,4
"107986590",0,1,0,0,0,0,0,0,0,0,0,0
"2914",2,1,4,6,12,10,5,5,0,9,19,9
"3159",11779,9522,6542,8302,6959,10049,7352,8964,5541,4184,6084,5104
"102465502",25,13,7,8,14,13,9,12,7,9,17,9
"221491",670,529,364,380,331,422,381,606,325,327,513,424
"11165",1279,967,714,952,844,1270,723,859,513,548,729,631
"100529239",6016,4666,3446,5990,5013,7032,4150,4613,2515,3082,4665,3777
"6204",5666,4394,3231,5729,4749,6639,3928,4363,2379,2916,4404,3549
"29993",89,68,49,8,3,15,15,25,21,2,7,7
"25803",1157,899,582,147,141,243,478,650,337,99,97,85
"64771",2749,1926,1406,1492,1324,1994,2249,2312,1437,1259,1898,1508
"105375028",2,1,0,0,0,1,4,3,2,1,0,1
"101929243",193,159,88,83,83,91,156,164,90,74,99,90
"6631",2347,1742,1259,1794,1483,2019,1443,1742,991,941,1399,1160
"54887",1084,609,473,599,557,816,1117,1148,724,816,1133,925
"6882",771,570,365,413,389,536,644,686,383,424,590,475
"23294",901,584,369,494,487,672,931,965,524,841,1127,959
"6954",0,0,0,0,0,1,1,1,0,2,1,0
"112267955",9,3,0,0,1,0,6,6,1,3,4,7
"222663",39,35,20,22,19,41,40,50,15,22,29,31
"101929285",26,11,5,12,8,12,19,24,19,7,15,13
"7629",530,359,243,345,291,401,382,467,246,237,372,359
"50619",6,5,7,3,6,9,16,10,7,15,19,8
"5467",647,460,332,416,388,550,456,541,315,414,534,454
"2178",262,181,134,202,176,266,173,164,87,102,145,111
"4736",13857,11028,7641,13275,10886,15254,9850,10778,5820,7346,10772,9038
"102465668",10,7,7,6,9,13,9,8,4,3,8,6
"7005",250,155,151,86,76,116,181,201,134,87,111,88
"7287",2,1,1,1,3,1,0,2,1,0,1,1
"101929309",0,0,0,1,0,1,2,0,0,1,0,1
"2289",1052,671,448,743,716,1040,694,691,462,514,685,552
"100847048",1,0,0,0,0,0,1,0,0,0,1,0
"285847",19,9,10,16,19,19,7,18,12,18,21,9
"221481",38,22,23,34,51,42,28,36,25,34,52,36
"389383",4,3,1,2,0,1,1,6,3,0,1,0
"340204",0,1,0,0,1,0,0,4,1,0,0,0
"222662",7,4,2,2,4,1,8,3,4,1,2,3
"6732",2721,1851,1258,1834,1471,2270,1706,1944,1057,1195,1571,1305
"116369",1,2,1,3,0,0,3,2,0,1,4,2
"105375035",1,0,0,3,0,0,0,0,0,1,1,1
"105375034",0,1,0,0,0,0,0,3,0,0,3,1
"1432",1702,1235,838,1029,878,1299,1144,1191,690,776,1138,867
"5603",72,32,39,46,45,53,55,61,44,66,92,46
"102723648",50,35,20,17,7,19,28,46,16,28,29,17
